DISTRICT,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls,Area type
SANT KABIRNAGAR,116,294,87,93,151,205,0,Peaceful Area
SARAIKELA,301,107,54,88,2,224,0,Peaceful Area
SAS NGR,133,157,29,77,10,280,2,Peaceful Area
SATARA,370,234,73,751,146,2161,0,Peaceful Area
SAWAI MADHOPUR,245,561,85,469,0,1724,0,Peaceful Area
SBS NAGAR,72,36,14,27,4,128,0,Peaceful Area
SEALDAH G.R.P.,19,36,11,56,2,10,0,Peaceful Area
SECUNDERABAD RLY.,7,3,8,20,10,5,0,Peaceful Area
SENAPATI,7,9,0,2,0,0,0,Peaceful Area
SERCHHIP,55,2,0,53,0,1,1,Peaceful Area
SHEIKHPURA,57,96,88,32,0,209,1,Peaceful Area
SHEOHAR,90,133,57,48,1,112,1,Peaceful Area
SHEOPUR,215,43,36,489,6,256,0,Peaceful Area
SHIMLA,309,233,6,481,43,335,0,Peaceful Area
SHIMOGA,195,216,58,1119,42,2273,0,Peaceful Area
SHOPIAN,31,176,0,299,32,2,0,Peaceful Area
SHRAWASTI,111,211,108,175,77,104,0,Peaceful Area
SIANG EAST,100,63,0,105,0,13,0,Peaceful Area
SIANG UPPER,21,17,0,28,0,4,0,Peaceful Area
SIANG WEST,53,69,0,122,5,35,0,Peaceful Area
